address,kind,depth,title,source_line,note
1000,h,0,Humanities,8,
1010,h,1,Performing arts,10,
1010/1,b,4,Music,12,
1010/1a,b,5,Accompanying,13,
1010/1b,b,5,Chamber music,14,
1010/1c,b,5,Church music,15,
1010/1d,b,5,Conducting,16,
1010/1d1,b,6,Choral conducting,17,
1010/1d2,b,6,Orchestral conducting,18,
1010/1d3,b,6,Wind ensemble conducting,19,
1010/1e,b,5,Early music,20,
1010/1f,b,5,Jazz studies,21,
1010/1g,b,5,Musical composition,22,
1010/1h,b,5,Music education,23,
1010/1i,b,5,Music genre,24,
1010/1i1,b,6,List of music genres and styles,25,
1010/1j,b,5,Musicology,26,
1010/1j1,b,6,Historical musicology,27,
1010/1j2,b,6,Systematic musicology,28,
1010/1j3,b,6,Ethnomusicology,29,
1010/1k,b,5,Music theory,30,
1010/1l,b,5,Orchestral studies,31,
1010/1m,b,5,Organology,32,
1010/1m1,b,6,Organ and historical keyboards,33,
1010/1m2,b,6,Piano,34,
1010/1m3,b,6,"Strings, harp, oud, and guitar",35,
1010/1m4,b,6,Singing,36,
1010/1m5,b,6,"Woodwinds, brass, and percussion",37,
1010/1n,b,5,Recording,38,
1010/2,b,4,Dance,39,
1010/2a,b,5,Choreography,40,
1010/2b,b,5,Dance notation,41,
1010/2c,b,5,Ethnochoreology,42,
1010/2d,b,5,History of dance,43,
1010/3,b,4,Television,44,
1010/3a,b,5,Television studies,45,
1010/4,b,4,Theatre,46,
1010/4a,b,5,Acting,47,
1010/4b,b,5,Directing,48,
1010/4c,b,5,Dramaturgy,49,
1010/4d,b,5,History of theatre,50,
1010/4e,b,5,Musical theatre,51,
1010/4f,b,5,Playwrighting,52,
1010/4g,b,5,Puppetry,53,
1010/4h,b,5,Scenography,54,
1010/4i,b,5,Stage design,55,
1010/4j,b,5,Ventriloquism,56,
1010/5,b,4,Film,57,
1010/5a,b,5,Animation,58,
1010/5b,b,5,Film criticism,59,
1010/5c,b,5,Filmmaking,60,
1010/5d,b,5,Film theory,61,
1010/5e,b,5,Film studies,62,
1010/5f,b,5,Live action,63,
1010/6,b,4,Oral literature,64,
1010/6a,b,5,Public speaking,65,
1010/6b,b,5,Performance poetry,66,
1010/6c,b,5,Spoken word,67,
1010/6d,b,5,Storytelling,68,
1010/7,b,4,Electronic game,69,
1010/7a,b,5,Arcade game,70,
1010/7b,b,5,Audio game,71,
1010/7c,b,5,Outline of video games,72,
1020,h,1,Visual arts,74,
1020/1,b,4,Applied arts,76,
1020/1a,b,5,Craft,77,
1020/1a1,b,6,Calligraphy,78,
1020/1a2,b,6,Decorative arts,79,
1020/1a3,b,6,Fashion,80,
1020/1a4,b,6,Paper craft,81,
1020/1a5,b,6,Textile arts,82,
1020/1a6,b,6,Woodwork,83,
1020/1a7,b,6,Metalwork,84,
1020/1a8,b,6,Pottery,85,
1020/1a9,b,6,Graphic design,86,
1020/1b,b,5,Architecture (Outline of architecture),87,
1020/1b1,b,6,Interior architecture,88,
1020/1b2,b,6,Landscape architecture,89,
1020/1b2a,b,7,Landscape design,90,
1020/1b2b,b,7,Landscape planning,91,
1020/1b3,b,6,Architectural analytics,92,
1020/1b4,b,6,Historic preservation,93,
1020/1b5,b,6,Interior design (interior architecture),94,
1020/1b6,b,6,Technical drawing,95,
1020/2,b,4,Art director,96,
1020/3,b,4,Fine arts,97,
1020/3a,b,5,Graphic arts,98,
1020/3a1,b,6,Drawing,99,
1020/3a2,b,6,Painting,100,
1020/3a3,b,6,Photography,101,
1020/3a4,b,6,Printmaking,102,
1020/3b,b,5,Sculpture,103,
1020/4,b,4,Digital art,104,
1020/4a,b,5,3D Modeling,105,
1020/4b,b,5,Animation,106,
1020/4c,b,5,Digital painting,107,
1020/5,b,4,Mixed media,108,
1020/6,b,4,Studio art,109,
1020/7,b,4,Culinary Arts,110,
1020/7a,b,5,Food photography,111,
1020/7b,b,5,Food presentation,112,
1020/7c,b,5,Gourmet,113,
1030,h,1,History,115,Also regarded as a Social science
1030/1,b,4,Prehistory,119,
1030/2,b,4,Ancient history,120,
1030/2a,b,5,Ancient Egypt,121,
1030/2b,b,5,Carthage,122,
1030/2c,b,5,Ancient Greek history,123,
1030/2d,b,5,Ancient Roman history,124,
1030/2d1,b,6,History of the Roman Republic,125,
1030/2d2,b,6,History of the Roman Empire,126,
1030/2e,b,5,Ancient Chinese history,127,
1030/2f,b,5,Ancient Middle Eastern history,128,
1030/2g,b,5,Assyrian Civilization,129,
1030/2h,b,5,Bronze Age Civilizations,130,
1030/2i,b,5,Biblical history,131,
1030/2j,b,5,History of the Indus Valley Civilization,132,
1030/2k,b,5,Preclassic Maya,133,
1030/2l,b,5,History of Mesopotamia,134,
1030/2m,b,5,The Stone Age,135,
1030/2n,b,5,History of the Yangtze civilization,136,
1030/2o,b,5,History of the Yellow River civilization,137,
1030/3,b,4,Modern history,138,
1030/4,b,4,Asian history,139,
1030/4a,b,5,Chinese history,140,
1030/4b,b,5,Japanese history,141,
1030/4c,b,5,Korean history,142,
1030/4d,b,5,Mongolian history,143,
1030/4e,b,5,Indian history,144,
1030/4f,b,5,Indonesian history,145,
1030/4g,b,5,Turkish history,146,
1030/4h,b,5,Iranian history,147,
1030/4i,b,5,Vietnamese history,148,
1030/4j,b,5,Philippine history,149,
1030/5,b,4,Australian history,150,
1030/6,b,4,European history,151,
1030/6a,b,5,British history,152,
1030/6b,b,5,French history,153,
1030/6c,b,5,German history,154,
1030/6d,b,5,Dutch history,155,
1030/6e,b,5,Italian history,156,
1030/6f,b,5,Spanish history,157,
1030/6g,b,5,Portuguese history,158,
1030/6h,b,5,Polish history,159,
1030/6i,b,5,Balkan history,160,
1030/6j,b,5,Scandinavian history,161,
1030/6j1,b,6,Swedish history,162,
1030/6j2,b,6,Norwegian history,163,
1030/6j3,b,6,Danish history,164,
1030/6j4,b,6,Finnish history,165,
1030/6j5,b,6,Icelandic history,166,
1030/6k,b,5,Russian history,167,
1030/7,b,4,African history,168,
1030/7a,b,5,South African history,169,
1030/7b,b,5,Egyptian history,170,
1030/7c,b,5,East and Central African history,171,
1030/7d,b,5,Nigerian history,172,
1030/8,b,4,Pre-Columbian era history,173,
1030/9,b,4,Pan-American history,174,
1030/9a,b,5,North American history,175,
1030/9a1,b,6,American history,176,
1030/9a2,b,6,Canadian history,177,
1030/9a3,b,6,Mexican history,178,
1030/9a4,b,6,Cuban history,179,
1030/9b,b,5,South American history,180,
1030/9b1,b,6,Latin American history,181,
1030/9b2,b,6,Brazilian history,182,
1030/9b3,b,6,Colombian history,183,
1030/9b4,b,6,Venezuelan history,184,
1030/9b5,b,6,Peruvian history,185,
1030/9b6,b,6,Argentine history,186,
1030/9c,b,5,Pre-Columbian era,187,
1030/9c1,b,6,Mayan history,188,
1030/9c2,b,6,Aztec history,189,
1030/9c3,b,6,Inca history,190,
1030/9c4,b,6,Mississippian culture* Art History,191,
1030/10,b,4,Latin American history,192,
1030/11,b,4,Jewish history,193,
1030/12,b,4,Cultural history,194,
1030/13,b,4,Ecclesiastical history of the Catholic Church,195,
1030/14,b,4,Economic history,196,
1030/15,b,4,Environmental history,197,
1030/16,b,4,Intellectual history,198,
1030/17,b,4,Philosophical history,199,
1030/17a,b,5,Ancient philosophy,200,
1030/17b,b,5,Contemporary philosophy,201,
1030/17c,b,5,Medieval philosophy,202,
1030/17c1,b,6,Humanism,203,
1030/17c2,b,6,Scholasticism,204,
1030/17d,b,5,Modern philosophy,205,
1030/18,b,4,Political history,206,
1030/18a,b,5,History of political thought,207,
1030/19,b,4,Public history,208,
1030/20,b,4,Scientific history,209,
1030/21,b,4,Technological history,210,
1030/22,b,4,World history,211,
1040,h,1,Languages and literature,213,Linguistics listed in Social science
1040/1,b,4,Comics studies,217,
1040/2,b,4,Classics,218,
1040/3,b,4,Comparative literature,219,
1040/4,b,4,Creative writing,220,
1040/4a,b,5,Poetry,221,
1040/4b,b,5,Prose,222,
1040/4c,b,5,Non-fiction,223,
1040/4d,b,5,Fiction,224,
1040/4e,b,5,Creative nonfiction,225,
1040/4f,b,5,Literary journalism,226,
1040/4g,b,5,Screenwriting,227,
1040/4h,b,5,Playwrighting,228,
1040/5,b,4,English studies,229,
1040/6,b,4,English literature,230,
1040/7,b,4,History of literature,231,
1040/7a,b,5,Ancient literature,232,
1040/7b,b,5,Medieval literature,233,
1040/7c,b,5,Post-colonial literature,234,
1040/7d,b,5,Post-modern literature,235,
1040/8,b,4,Literary genre,236,
1040/9,b,4,Literary theory,237,
1040/9a,b,5,Critical theory,238,
1040/9b,b,5,Literary criticism,239,
1040/9c,b,5,Poetics,240,
1040/9d,b,5,Rhetoric,241,
1040/10,b,4,Languages,242,
1040/10a,b,5,Business English,243,
1040/10b,b,5,Classical language,244,
1040/10c,b,5,Modern language,245,
1040/10d,b,5,Standard English,246,
1040/10e,b,5,World Englishes,247,
1040/11,b,4,World literature,248,
1040/11a,b,5,American literature,249,
1040/11a1,b,6,African-American literature,250,
1040/11a2,b,6,Southern literature,251,
1040/11b,b,5,British literature,252,
1040/11c,b,5,Canadian literature,253,
1040/11d,b,5,Indian English literature,254,
1040/11e,b,5,Irish literature,255,
1040/11f,b,5,New Zealand literature,256,
1040/11g,b,5,Scottish literature,257,
1040/11h,b,5,South African literature,258,
1040/11i,b,5,Welsh literature,259,
1050,h,1,Law,261,Also regarded as a Social science
1050/1,b,4,Legal management (academic discipline),265,
1050/1a,b,5,Corporate law,266,
1050/1b,b,5,Mercantile law,267,
1050/1c,b,5,Business law,268,
1050/2,b,4,Administrative law,269,
1050/3,b,4,Canon law,270,
1050/4,b,4,Comparative law,271,
1050/5,b,4,Constitutional law,272,
1050/6,b,4,Competition law,273,
1050/7,b,4,Criminal law,274,
1050/7a,b,5,Criminal procedure,275,
1050/7b,b,5,Criminal justice,276,
1050/7b1,b,6,Police science,277,
1050/7b2,b,6,Forensic science,278,
1050/8,b,4,Islamic law,279,
1050/9,b,4,Jewish law,280,
1050/10,b,4,Jurisprudence (Philosophy of Law),281,
1050/11,b,4,Civil law,282,
1050/11a,b,5,Admiralty law,283,
1050/11b,b,5,Animal law/Animal rights,284,
1050/11c,b,5,Common law,285,
1050/11d,b,5,Corporations,286,
1050/11e,b,5,Civil procedure,287,
1050/11f,b,5,Contract law,288,
1050/11g,b,5,Environmental law,289,
1050/11h,b,5,Family law,290,
1050/11i,b,5,Federal law,291,
1050/11j,b,5,International law,292,
1050/11j1,b,6,Public international law,293,
1050/11j2,b,6,Supranational law,294,
1050/11k,b,5,Labor law,295,
1050/11l,b,5,Paralegal studies,296,
1050/11m,b,5,Property law,297,
1050/11n,b,5,Tax law,298,
1050/11o,b,5,Tort law,299,
1050/12,b,4,Law enforcement,300,
1050/13,b,4,Procedural law,301,
1050/14,b,4,Substantive law,302,
1060,h,1,Philosophy,304,"Also regarded as the separate, an entry at the highest level of the hierarchy"
1060/1,b,4,Aesthetics / Philosophy of art,308,
1060/2,b,4,Applied philosophy,309,
1060/2a,b,5,Philosophy of economics,310,
1060/2b,b,5,Philosophy of education,311,
1060/2c,b,5,Philosophy of engineering,312,
1060/2d,b,5,Philosophy of history,313,
1060/2e,b,5,Philosophy of language,314,
1060/2f,b,5,Philosophy of law,315,
1060/2g,b,5,Philosophy of mathematics,316,
1060/2h,b,5,Philosophy of music,317,
1060/2i,b,5,Philosophy of psychology,318,
1060/2j,b,5,Philosophy of religion,319,
1060/2k,b,5,Philosophy of physical sciences,320,
1060/2k1,b,6,Philosophy of biology,321,
1060/2k2,b,6,Philosophy of chemistry,322,
1060/2k3,b,6,Philosophy of physics,323,
1060/2l,b,5,Philosophy of social science,324,
1060/2m,b,5,Philosophy of technology,325,
1060/2n,b,5,Systems philosophy,326,
1060/2o,b,5,Political philosophy and Social philosophy,327,
1060/2o1,b,6,Anarchism,328,
1060/2o2,b,6,Feminist philosophy,329,
1060/2o3,b,6,Manosphere Schools of Gender Dynamics,330,
1060/2o4,b,6,Libertarianism,331,
1060/2o5,b,6,Marxism,332,
1060/3,b,4,Epistemology,333,
1060/3a,b,5,Justification,334,
1060/3b,b,5,Reasoning errors,335,
1060/4,b,4,Ethics,336,
1060/4a,b,5,Applied ethics,337,
1060/4a1,b,6,Animal rights,338,
1060/4a2,b,6,Bioethics,339,
1060/4a3,b,6,Environmental ethics,340,
1060/4b,b,5,Meta-ethics,341,
1060/4c,b,5,"Moral psychology, Descriptive ethics, Value theory",342,
1060/4d,b,5,Normative ethics,343,
1060/4d1,b,6,Virtue ethics,344,
1060/5,b,4,Logic,345,
1060/5a,b,5,Mathematical logic,346,
1060/5b,b,5,Philosophical logic,347,
1060/6,b,4,Meta-philosophy,348,
1060/7,b,4,Metaphysics,349,
1060/7a,b,5,Philosophy of Action,350,
1060/7b,b,5,Determinism and Free will,351,
1060/7c,b,5,Ontology,352,
1060/7d,b,5,Philosophy of mind,353,
1060/7d1,b,6,Philosophy of pain,354,
1060/7d2,b,6,Philosophy of artificial intelligence,355,
